SHOE_NAME,Brand,Closure,Construction,Downturn,Environment,Features,Fit,Last Shape,Level,Lined,MSRP (USD),Midsole,Release Date,Stiffness,Stretch,Thickness (mm),Tongue Pull Loop,Top,Use,Weight (oz)
Scarpa Instinct,Scarpa,{Laces},{Slip Lasted},Moderate,{Outdoor},{Lightweight},Performance,Asymmetric,{Intermediate},False,185.00,Partial,2021,Medium,,4.0,False,Low,"{Face, Crack, Sport, Bouldering}",7.8
La Sportiva Tarantula,La Sportiva,{Velcro},{Slip Lasted},Neutral,"{Indoor, Outdoor}","{Split Tongue, Cheap}",Comfort,Asymmetric,{},,90.00,Yes,2021,Stiff,,5.0,True,Low,{},10.2
Scarpa Instinct VS,Scarpa,{Velcro},{Slip Lasted},Moderate,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",False,185.00,Partial,2021,Medium,,3.5,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.1
La Sportiva Miura,La Sportiva,{Laces},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,{Intermediate},True,165.00,Partial,2021,Medium,True,4.0,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.4
La Sportiva Finale,La Sportiva,{Laces},{Slip Lasted},Neutral,"{Indoor, Outdoor}",{Lightweight},Comfort,Straight,{Beginner},False,110.00,Yes,2021,Medium,True,5.0,False,Low,{Bouldering},8.0
La Sportiva Tarantulace,La Sportiva,{Laces},{Slip Lasted},Neutral,"{Indoor, Outdoor}",{Cheap},Comfort,Asymmetric,{},,80.00,Yes,2021,Stiff,True,5.0,True,Low,{},9.2
La Sportiva Solution,La Sportiva,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",True,180.00,Partial,2021,Medium,,4.0,False,Low,"{Overhang, Sport, Bouldering}",9.1
La Sportiva Miura VS,La Sportiva,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",True,185.00,Partial,2021,Medium,True,4.0,False,Low,"{Face, Overhang, Sport, Bouldering}",9.5
Scarpa Vapor V,Scarpa,{Velcro},{Slip Lasted},Moderate,"{Indoor, Outdoor}",{},Performance,Asymmetric,{Intermediate},False,175.00,Yes,2021,Soft,True,3.5,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.5
Scarpa Origin,Scarpa,{Velcro},{Board Lasted},Neutral,"{Indoor, Outdoor}","{Lightweight, Cheap}",Comfort,Asymmetric,"{Beginner, Intermediate, Advanced}",False,95.00,Yes,2021,Stiff,,5.0,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",7.9
Black Diamond Momentum,Black Diamond,{Velcro},{Slip Lasted},Neutral,"{Indoor, Outdoor}","{Split Tongue, Lightweight, Cheap}",Comfort,Straight,"{Beginner, Intermediate, Advanced}",True,95.00,Yes,2021,Soft,True,4.3,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",7.8
La Sportiva Skwama,La Sportiva,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,{Intermediate},False,170.00,Yes,2021,Soft,True,4.0,False,Low,"{Face, Slab, Overhang, Sport, Bouldering}",7.4
Evolv Shaman,Evolv,{Velcro},"{Slip Lasted, Vegan}",Aggressive,"{Indoor, Outdoor}",{Split Tongue},Performance,Asymmetric,{Intermediate},False,170.00,Partial,2021,Medium,,4.2,False,Low,"{Face, Overhang, Sport, Bouldering}",9.5
Scarpa Instinct VSR,Scarpa,{Velcro},{Board Lasted},Moderate,"{Indoor, Outdoor}",{Expensive},Performance,Asymmetric,"{Intermediate, Advanced}",False,199.00,Yes,2021,Soft,False,3.5,True,Low,"{Trad, Sport, Bouldering}",8.1
Scarpa Drago,Scarpa,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}","{Expensive, Lightweight}",Performance,Asymmetric,"{Intermediate, Advanced}",False,200.00,Yes,2021,Soft,True,3.5,True,Low,"{Overhang, Sport, Bouldering}",7.0
Evolv Defy,Evolv,{Velcro},{Vegan},Neutral,"{Indoor, Outdoor}","{Split Tongue, Cheap}",,Asymmetric,"{Beginner, Intermediate}",True,90.00,Full,2021,,,,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.5
La Sportiva TC Pro,La Sportiva,{Laces},{Slip Lasted},Moderate,{Outdoor},{},Performance,Asymmetric,{},,190.00,Yes,2021,Stiff,True,4.0,False,Mid,{},8.7
La Sportiva Theory,La Sportiva,{Velcro},"{No-Edge, Slip Lasted}",Aggressive,{Indoor},{Lightweight},Performance,Asymmetric,"{Intermediate, Advanced}",False,190.00,No,2021,,,4.0,True,Low,"{Face, Bouldering}",7.1
Scarpa Force V,Scarpa,{Velcro},{Slip Lasted},Neutral,"{Indoor, Outdoor}",{},Comfort,Asymmetric,{},True,159.00,Yes,2021,Stiff,,,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",9.2
Scarpa Helix,Scarpa,{Laces},{Board Lasted},Neutral,"{Indoor, Outdoor}","{Lightweight, Cheap}",Comfort,Asymmetric,"{Beginner, Intermediate}",True,100.00,Yes,2021,Medium,True,3.5,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",7.6
Evolv Phantom,Evolv,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}",{Split Tongue},Performance,Asymmetric,{Advanced},False,185.00,Yes,2021,Medium,,4.0,False,Low,"{Sport, Bouldering}",9.0
La Sportiva Katana Lace,La Sportiva,{Laces},{},Moderate,"{Indoor, Outdoor}",{Expensive},,Asymmetric,{Intermediate},True,195.00,Full,2021,,False,,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.7
La Sportiva Kubo,La Sportiva,{Velcro},{},Moderate,{Indoor},{Lightweight},Comfort,Asymmetric,"{Beginner, Intermediate}",False,150.00,Full,,,,4.0,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",7.1
Scarpa Chimera,Scarpa,{Laces},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{Expensive},Performance,Asymmetric,"{Intermediate, Advanced}",False,210.00,Yes,2021,Soft,,3.5,True,Low,"{Trad, Face, Crack, Sport, Bouldering}",8.6
Evolv Kronos,Evolv,{Velcro},"{Slip Lasted, Vegan}",Moderate,"{Indoor, Outdoor}",{Split Tongue},Comfort,Asymmetric,"{Beginner, Intermediate, Advanced}",False,130.00,Full,2021,Medium,,4.2,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",9.3
La Sportiva Futura,La Sportiva,{Velcro},"{No-Edge, Slip Lasted}",Aggressive,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Intermediate, Advanced}",False,185.00,Partial,2021,Medium,False,3.0,False,Low,"{Trad, Face, Overhang, Crack, Sport, Bouldering}",7.9
Five Ten Hiangle,Five Ten,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Intermediate, Advanced}",False,150.00,Yes,2021,Stiff,,4.2,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",7.8
La Sportiva Otaki,La Sportiva,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}","{Expensive, Lightweight}",Performance,Asymmetric,"{Intermediate, Advanced}",True,195.00,Yes,2021,Medium,True,4.0,True,Low,"{Face, Overhang, Sport}",7.7
Scarpa Mago,Scarpa,{Laces},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Intermediate, Advanced}",False,190.00,Yes,2021,Medium,True,3.5,False,Low,"{Trad, Sport, Bouldering}",7.6
Evolv Oracle,Evolv,{Laces},"{Slip Lasted, Vegan}",Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",False,175.00,Partial,2021,Medium,,4.2,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",9.0
Scarpa Veloce,Scarpa,{Velcro},{Board Lasted},Moderate,{},{Lightweight},Comfort,Asymmetric,"{Beginner, Intermediate}",,140.00,Partial,2021,Soft,,4.0,True,Low,{},7.4
Mad Rock Drifter,Mad Rock,{Velcro},{},Neutral,"{Indoor, Outdoor}","{Split Tongue, Lightweight, Cheap}",Comfort,Asymmetric,{Beginner},True,75.00,Yes,2021,Medium,,3.8,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",7.9
Tenaya Mastia,Tenaya,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}",{Lightweight},,Asymmetric,"{Intermediate, Advanced}",False,190.00,Yes,2021,,,3.5,False,Low,"{Face, Overhang, Sport, Bouldering}",5.8
Black Diamond Zone,Black Diamond,{Velcro},{},Moderate,"{Indoor, Outdoor}","{Split Tongue, Lightweight}",,Asymmetric,"{Beginner, Intermediate, Advanced}",True,140.00,Full,2021,,False,4.3,False,Low,"{Face, Slab, Overhang, Bouldering}",7.8
La Sportiva Kataki,La Sportiva,{Laces},{Slip Lasted},Aggressive,{Outdoor},{},Performance,Asymmetric,{Intermediate},True,175.00,Partial,2021,Medium,,4.0,False,Low,"{Trad, Face, Overhang, Sport, Bouldering}",9.4
La Sportiva Solution Comp,La Sportiva,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,{Intermediate},True,185.00,Partial,2021,,,3.5,False,Low,"{Face, Overhang, Sport}",9.1
Black Diamond Aspect,Black Diamond,{Laces},{Slip Lasted},Neutral,{Outdoor},{},Comfort,Straight,"{Intermediate, Advanced}",True,150.00,Yes,2021,Medium,,4.3,False,Low,"{Trad, Crack}",9.1
Scarpa Boostic,Scarpa,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{Expensive},Performance,Asymmetric,"{Intermediate, Advanced}",False,200.00,Yes,2021,Stiff,,4.0,True,Low,"{Face, Sport, Bouldering}",8.8
Tenaya Masai,Tenaya,{Laces},{Vegan},Moderate,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",True,150.00,Partial,2021,Medium,True,4.0,False,Low,"{Trad, Overhang, Crack, Sport, Bouldering}",6.0
Tenaya Oasi,Tenaya,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Intermediate, Advanced}",True,175.00,Yes,2021,Soft,,3.5,False,Low,"{Face, Overhang, Sport, Bouldering}",6.0
Mad Rock Drone LV,Mad Rock,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}",{},,Asymmetric,"{Intermediate, Advanced}",,130.00,Yes,2021,Medium,True,4.2,True,Low,"{Overhang, Sport, Bouldering}",8.5
Scarpa Furia S,Scarpa,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}","{Expensive, Lightweight}",Performance,Asymmetric,"{Intermediate, Advanced}",,200.00,Yes,2021,Soft,,3.5,False,Low,"{Overhang, Sport, Bouldering}",7.8
Scarpa Drago LV,Scarpa,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{},,Asymmetric,"{Intermediate, Advanced}",,190.00,Yes,,,,,False,Low,"{Overhang, Sport, Bouldering}",
Scarpa Vapor Lace,Scarpa,{Laces},{Slip Lasted},Moderate,"{Indoor, Outdoor}",{Lightweight},,Asymmetric,{},,175.00,Full,2021,Medium,True,3.5,False,Low,{},7.6
Tenaya Tarifa,Tenaya,{Laces},{Vegan},Moderate,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Intermediate, Advanced}",True,175.00,Yes,2021,Medium,,3.5,False,Low,"{Face, Slab, Overhang, Sport, Bouldering}",6.0
La Sportiva Zenit,La Sportiva,{Velcro},{},Moderate,"{Indoor, Outdoor}",{},Comfort,Asymmetric,"{Beginner, Intermediate}",False,125.00,Yes,,Medium,,5.0,False,Low,{Bouldering},8.5
La Sportiva Testarossa,La Sportiva,{Laces},{Slip Lasted},Aggressive,{Outdoor},"{Expensive, Lightweight}",Performance,Asymmetric,"{Intermediate, Advanced}",True,200.00,Partial,2021,Medium,True,3.5,False,Low,"{Face, Overhang, Sport, Bouldering}",7.9
Evolv Zenist,Evolv,{Velcro},"{Slip Lasted, Vegan}",Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",False,160.00,Partial,,Soft,,4.2,True,Low,"{Face, Sport, Bouldering}",9.0
Tenaya Ra,Tenaya,{Velcro},"{Slip Lasted, Vegan}",Moderate,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",True,150.00,Yes,2021,Medium,,4.0,False,,"{Face, Overhang, Sport, Bouldering}",6.0
La Sportiva Mythos,La Sportiva,{Laces},{},Neutral,{Outdoor},{},,Asymmetric,"{Beginner, Intermediate, Advanced}",,145.00,Full,2021,,True,4.0,False,Low,{},8.7
Tenaya Iati,Tenaya,{Velcro},{},Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",True,170.00,Yes,2021,Medium,True,3.5,False,Low,"{Slab, Overhang, Sport, Bouldering}",10.2
Scarpa Booster,Scarpa,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}",{},,Asymmetric,"{Intermediate, Advanced}",,190.00,Yes,2021,,,3.5,True,Low,"{Overhang, Sport, Bouldering}",8.6
Scarpa Instinct S,Scarpa,"{Laces, Slip-On}",{},Moderate,"{Indoor, Outdoor}",{Expensive},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",,199.00,Yes,2022,Soft,,3.5,True,Low,"{Slab, Overhang, Sport, Bouldering}",8.5
La Sportiva Genius,La Sportiva,{Laces},"{No-Edge, Slip Lasted}",Aggressive,"{Indoor, Outdoor}","{Expensive, Lightweight}",Performance,Asymmetric,"{Intermediate, Advanced}",False,195.00,Yes,2021,Medium,True,3.0,False,Low,"{Face, Overhang, Sport, Bouldering}",7.8
Scarpa Arpia,Scarpa,{Velcro},{Slip Lasted},Moderate,"{Indoor, Outdoor}",{Lightweight},Comfort,Asymmetric,"{Intermediate, Advanced}",True,160.00,Full,2021,Stiff,,3.5,False,Low,"{Trad, Face, Sport, Bouldering}",7.8
Butora Altura,Butora,{Laces},{Slip Lasted},Neutral,{Outdoor},{},Comfort,Straight,"{Intermediate, Advanced}",True,160.00,Yes,2021,Stiff,True,,False,Mid,"{Trad, Slab, Crack}",
Scarpa Quantic,Scarpa,{Velcro},"{Slip Lasted, Vegan}",Moderate,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Beginner, Intermediate}",,169.00,Yes,2022,,,3.5,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",6.7
Tenaya Indalo,Tenaya,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}",{Expensive},Performance,Asymmetric,"{Intermediate, Advanced}",True,210.00,Yes,2023,Stiff,,3.5,False,Low,"{Face, Overhang, Bouldering}",12.0
Five Ten NIAD Lace,Five Ten,{Laces},{Board Lasted},Neutral,"{Indoor, Outdoor}",{},Comfort,Asymmetric,"{Beginner, Intermediate, Advanced}",True,150.00,Full,2022,Stiff,,3.5,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.8
Butora Acro,Butora,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",True,155.00,Full,2021,Stiff,,4.0,True,Low,"{Face, Sport, Bouldering}",8.8
Scarpa Instinct SR,Scarpa,{Slip-On},{Board Lasted},Moderate,{Indoor},{},Performance,Asymmetric,{},,175.00,Yes,2021,Soft,,3.5,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.5
Tenaya Oasi LV,Tenaya,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Intermediate, Advanced}",False,175.00,Yes,2021,Medium,,3.5,False,Low,"{Face, Overhang, Sport, Bouldering}",6.0
Black Diamond Shadow,Black Diamond,{Velcro},{Slip Lasted},Aggressive,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",,190.00,Yes,2021,Soft,True,4.3,True,Low,"{Face, Overhang, Sport, Bouldering}",7.6
Tenaya Tanta,Tenaya,{Velcro},{Vegan},Moderate,"{Indoor, Outdoor}",{Lightweight},Comfort,Asymmetric,{},True,100.00,Yes,2021,Medium,,4.0,False,Low,"{Trad, Face, Overhang, Sport, Bouldering}",6.0
Scarpa Maestro Mid Eco,Scarpa,{Laces},{Slip Lasted},Neutral,"{Indoor, Outdoor}",{Expensive},Comfort,Asymmetric,"{Beginner, Intermediate, Advanced}",False,200.00,Full,2021,Stiff,,4.0,False,Mid,"{Trad, Sport, Bouldering}",9.7
Butora Endeavor,Butora,{Velcro},{Slip Lasted},Neutral,"{Indoor, Outdoor}",{Split Tongue},Comfort,Asymmetric,"{Beginner, Intermediate, Advanced}",True,100.00,Full,2021,Stiff,True,,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.8
Boreal Joker,Boreal,{Velcro},{Slip Lasted},Neutral,"{Indoor, Outdoor}","{Split Tongue, Cheap}",Comfort,Straight,"{Beginner, Intermediate, Advanced}",True,80.00,,2021,Medium,,4.5,False,Low,"{Crack, Bouldering}",
La Sportiva Cobra,La Sportiva,{Slip-On},{Slip Lasted},Moderate,"{Indoor, Outdoor}",{Lightweight},Comfort,Straight,{Intermediate},False,120.00,Partial,2021,Soft,,3.5,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",7.4
Black Diamond Momentum Lace,Black Diamond,{Laces},{Slip Lasted},Neutral,"{Indoor, Outdoor}","{Lightweight, Cheap}",Comfort,Straight,"{Beginner, Intermediate, Advanced}",True,90.00,Yes,2021,Soft,True,4.3,False,Low,"{Slab, Crack, Sport, Bouldering}",8.0
La Sportiva Oxygym,La Sportiva,{Velcro},{Slip Lasted},Neutral,"{Indoor, Outdoor}","{Lightweight, Cheap}",Comfort,Asymmetric,{},,100.00,Yes,2021,Medium,,5.0,False,Low,{},7.1
Scarpa Quantix SF,Scarpa,{Velcro},{},Moderate,"{Indoor, Outdoor}",{},Comfort,Asymmetric,"{Beginner, Intermediate}",,189.00,Partial,2022,Medium,,3.5,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.3
Butora Gomi,Butora,{Velcro},{},Aggressive,"{Indoor, Outdoor}",{},,Asymmetric,"{Beginner, Intermediate, Advanced}",,150.00,,2021,Medium,,,False,Low,"{Sport, Bouldering}",
Five Ten Crawe,Five Ten,{Velcro},{},Moderate,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",True,180.00,Yes,,Medium,,,True,,"{Face, Sport, Bouldering}",
La Sportiva Skwama Vegan,La Sportiva,{Velcro},"{Slip Lasted, Vegan}",Aggressive,"{Indoor, Outdoor}",{Expensive},Performance,Asymmetric,{Intermediate},False,199.00,Yes,2023,Soft,,,True,Low,"{Face, Overhang, Sport, Bouldering}",8.1
Scarpa Maestro Eco,Scarpa,{Laces},{Slip Lasted},Moderate,"{Indoor, Outdoor}",{},Comfort,Asymmetric,"{Beginner, Intermediate, Advanced}",True,190.00,Full,2021,Stiff,True,4.0,False,Low,"{Trad, Face, Sport, Bouldering}",9.1
La Sportiva Cobra Eco,La Sportiva,{Slip-On},{Slip Lasted},Neutral,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",False,140.00,,2021,Soft,,3.0,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",7.6
Five Ten NIAD VCS,Five Ten,{Velcro},{},Neutral,"{Indoor, Outdoor}",{Split Tongue},Comfort,Straight,"{Beginner, Intermediate}",False,150.00,Partial,,Medium,True,4.2,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",9.1
Tenaya Inti,Tenaya,{Velcro},"{Slip Lasted, Vegan}",Moderate,"{Indoor, Outdoor}","{Split Tongue, Lightweight}",Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",True,145.00,Yes,2021,Medium,True,4.0,False,Low,"{Trad, Overhang, Bouldering}",6.0
Scarpa Velocity,Scarpa,{Velcro},{Vegan},Neutral,{Indoor},"{Split Tongue, Lightweight, Cheap}",Comfort,Straight,"{Beginner, Intermediate}",True,85.00,Yes,2021,,,4.0,False,Low,"{Trad, Sport, Bouldering}",7.4
Evolv Rave,Evolv,{Slip-On},{},Neutral,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",False,115.00,Full,2021,,True,,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",
Evolv X1,Evolv,{Velcro},"{Slip Lasted, Vegan}",Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",False,140.00,Partial,2021,Soft,True,4.2,True,Low,"{Face, Overhang, Sport}",8.1
Mad Rock Remora,Mad Rock,{Slip-On},{Vegan},Moderate,"{Indoor, Outdoor}",{Cheap},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",,95.00,No,2021,Soft,,4.2,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.4
Evolv Kira,Evolv,{Velcro},"{Slip Lasted, Vegan}",Moderate,"{Indoor, Outdoor}","{Split Tongue, Lightweight}",Comfort,Asymmetric,"{Intermediate, Advanced}",False,135.00,Full,2021,Medium,,4.2,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",
Evolv Phantom LV,Evolv,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}","{Expensive, Split Tongue}",Performance,Asymmetric,"{Intermediate, Advanced}",,205.00,Full,2023,,,4.2,False,,"{Trad, Face, Overhang, Crack, Bouldering}",9.9
Butora Acro Comp,Butora,{Velcro},{},Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",,160.00,Yes,2021,Soft,False,4.0,True,Low,"{Sport, Bouldering}",
Unparallel Up Mocc,Unparallel,{Slip-On},{},Neutral,"{Indoor, Outdoor}",{},,Asymmetric,"{Beginner, Intermediate, Advanced}",False,110.00,Yes,2021,Soft,True,4.2,True,Low,"{Trad, Crack, Bouldering}",11.6
So iLL New Zero,So iLL,{Velcro},{Vegan},Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,{Intermediate},True,159.00,Yes,2021,Soft,,3.2,False,Low,"{Trad, Sport, Bouldering}",
La Sportiva Python,La Sportiva,{Velcro},{Slip Lasted},Moderate,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",False,140.00,Partial,2021,Soft,,3.5,True,Low,"{Face, Overhang, Sport, Bouldering}",7.8
So iLL Street LV,So iLL,{Velcro},{Vegan},Aggressive,{},{},Performance,Asymmetric,"{Intermediate, Advanced}",True,140.00,Yes,2021,Soft,True,,False,Low,"{Face, Overhang, Sport, Bouldering}",
Unparallel Vim,Unparallel,{Slip-On},{},Aggressive,"{Indoor, Outdoor}",{Lightweight},Performance,Asymmetric,"{Intermediate, Advanced}",True,140.00,Yes,2021,Medium,,3.5,True,Low,"{Overhang, Bouldering}",7.2
Ocun Jett QC,Ocun,{Velcro},{},Moderate,"{Indoor, Outdoor}","{Lightweight, Cheap}",Comfort,Asymmetric,"{Intermediate, Advanced}",,85.00,Yes,2021,Stiff,,4.0,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",6.6
Scarpa Reflex V,Scarpa,{Velcro},"{Slip Lasted, Vegan}",Neutral,{Indoor},{Lightweight},Comfort,Asymmetric,{Beginner},False,90.00,Partial,,,,5.0,True,Low,{Bouldering},7.4
Five Ten NIAD Moccasym,Five Ten,{Slip-On},{Board Lasted},Neutral,"{Indoor, Outdoor}",{},Comfort,Asymmetric,"{Beginner, Intermediate}",False,125.00,Full,,Medium,True,4.2,True,Low,"{Crack, Bouldering}",9.1
Ocun Jett LU,Ocun,{Laces},{},Moderate,"{Indoor, Outdoor}","{Lightweight, Cheap}",Comfort,Asymmetric,"{Intermediate, Advanced}",,85.00,Yes,2021,Stiff,,4.0,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",6.6
Boreal Diabolo,Boreal,{Velcro},{Slip Lasted},Moderate,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Beginner, Intermediate, Advanced}",False,130.00,Partial,2021,Medium,True,4.5,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.9
Boreal Mutant,Boreal,{Velcro},{},Aggressive,"{Indoor, Outdoor}",{},,Asymmetric,"{Intermediate, Advanced}",False,150.00,Yes,2021,,,4.5,False,Low,"{Overhang, Sport, Bouldering}",8.1
Boreal Alpha,Boreal,{Velcro},{Slip Lasted},Neutral,"{Indoor, Outdoor}","{Split Tongue, Cheap}",Comfort,Asymmetric,"{Beginner, Intermediate, Advanced}",False,80.00,Yes,2021,,True,4.5,False,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.7
Boreal Synergy,Boreal,{Velcro},"{Slip Lasted, Vegan}",Aggressive,"{Indoor, Outdoor}",{},Performance,Asymmetric,"{Intermediate, Advanced}",True,170.00,No,2021,Soft,True,4.5,False,Low,"{Face, Overhang, Sport, Bouldering}",8.1
Mad Rock Weaver,Mad Rock,{Velcro},{},Neutral,"{Indoor, Outdoor}",{Cheap},Comfort,Asymmetric,{Beginner},,100.00,Yes,2021,Medium,,4.2,True,Low,"{Trad, Face, Slab, Overhang, Crack, Sport, Bouldering}",8.4
La Sportiva Geckogym,La Sportiva,{Velcro},"{Slip Lasted, Vegan}",Neutral,{Indoor},{Split Tongue},Comfort,Straight,{},True,110.00,Full,2021,Medium,,5.0,True,Low,"{Face, Bouldering}",8.3
