SHOE_NAME,Brand,Cut,Fit,MSRP (USD),Origin,Orthotic Friendly,Release Date,Season,Use,Waterproofing,Weight (oz),Widths Available,Zero Drop
Adidas Terrex Free Hiker,Adidas,Mid,{},200.00,,False,,{Summer},"{Day, Speed}",Water Repellent,13.5,{Standard},False
Salomon Quest 4 GTX,Salomon,High,{},230.00,,True,2021,{},{Backpacking},Waterproof,23.1,{Standard},False
Salomon X Ultra 4 Mid GTX,Salomon,Mid,{},165.00,,True,2021,{Winter},"{Day, Snow}",Waterproof,15.0,"{Standard, Wide}",False
Danner Mountain 600,Danner,Mid,{},200.00,,True,,{},{Day},Waterproof,19.5,"{Standard, Wide}",False
Salomon X Ultra 3 Mid GTX,Salomon,Mid,{},165.00,,True,,{},{Day},Waterproof,15.8,"{Standard, Wide}",False
Timberland Euro Hiker,Timberland,Mid,{},110.00,,True,,"{Winter, Summer}","{Day, Urban, Snow}",,17.1,"{Standard, Wide}",False
Adidas Terrex Free Hiker GTX,Adidas,Mid,{},250.00,,True,2019,{},{Day},Waterproof,14.8,{Standard},False
KEEN Revel IV High Polar,KEEN,High,{},190.00,,True,2021,{Winter},"{Day, Snow}",Waterproof,,{Standard},False
Altra Lone Peak Hiker,Altra,Mid,{Wide Toebox},140.00,,True,2021,{},"{Day, Urban}",,11.5,{Standard},True
Hoka Anacapa Mid GTX,Hoka,Mid,{},170.00,,True,2021,{},{Day},Waterproof,16.0,{Standard},False
Columbia Fairbanks Omni-Heat Boot,Columbia,Mid,{},130.00,,True,2020,{Winter},"{Day, Snow}",Waterproof,15.7,"{Standard, Wide}",False
Adidas Terrex Free Hiker 2,Adidas,Mid,{},200.00,,True,,{Summer},"{Day, Speed}",,15.0,{Standard},False
Danner Jag,Danner,Mid,{},180.00,,True,,{},"{Day, Urban}",Waterproof,17.0,{Standard},False
Merrell Moab 3 Mid,Merrell,Mid,{},120.00,,True,2022,{Summer},{Day},,17.6,"{Standard, Wide}",False
Danner Mountain Light,Danner,Mid,{},380.00,USA,True,,{},{Backpacking},Waterproof,29.0,"{Standard, Wide}",False
Merrell Moab 3 Mid Waterproof,Merrell,Mid,{},145.00,,True,2023,{},{Day},Waterproof,16.4,"{Standard, Wide}",False
On Cloudrock Waterproof,On,Mid,{},230.00,,True,2019,{},{Speed},Waterproof,15.7,{Standard},False
La Sportiva Ultra Raptor II Mid GTX,La Sportiva,Mid,{},175.00,,True,2021,{},"{Day, Backpacking}",Waterproof,16.6,"{Narrow, Standard, Wide}",False
Columbia Bugaboot III,Columbia,High,{},115.00,,False,2020,{Winter},"{Day, Snow}",Waterproof,24.5,"{Narrow, Standard, Wide}",False
KEEN Pyrenees,KEEN,High,{},150.00,,True,2019,{},{Day},Waterproof,20.2,{Standard},False
Lowa Innox Pro GTX Mid,Lowa,Mid,{},235.00,European,True,2020,{},"{Day, Speed}",Waterproof,15.9,{Standard},False
Hoka Kaha 2 GTX,Hoka,Mid,{},240.00,,True,2022,{},{},Waterproof,16.8,{Standard},False
Salomon OUTline Mid GTX,Salomon,Mid,{},150.00,,True,,{},"{Day, Urban, Speed}",Waterproof,14.8,{Standard},False
Salomon Quest Element GTX,Salomon,High,{},180.00,,True,2022,{},{Backpacking},Waterproof,19.2,{Standard},False
Scarpa Terra GTX,Scarpa,High,{},200.00,Italian,True,,{},{Day},Waterproof,19.0,{Standard},False
Columbia Trailstorm Mid Waterproof,Columbia,Mid,{},110.00,,True,2021,{},"{Day, Urban}",Waterproof,12.2,"{Standard, Wide}",False
KEEN Targhee II Mid,KEEN,Mid,{Wide Toebox},140.00,,True,2019,{},{Day},Waterproof,17.4,"{Narrow, Standard, Wide}",False
Cole Haan Zerogrand Hiker Boot,Cole Haan,Mid,{},320.00,,True,2021,{},"{Day, Urban}",Waterproof,25.0,"{Standard, Wide}",False
Asolo Fugitive GTX,Asolo,Mid,{Wide Toebox},250.00,European,True,,"{Winter, Summer}","{Day, Snow}",Waterproof,24.3,"{Standard, Wide}",False
Merrell Moab 2 Mid Waterproof,Merrell,Mid,{},130.00,,True,,{},{Day},Waterproof,17.8,"{Standard, Wide}",False
Columbia Firecamp Boot,Columbia,Mid,{},100.00,,True,2020,{Winter},"{Day, Urban, Snow}",Waterproof,14.8,"{Standard, Wide}",False
Salomon Cross Hike Mid GTX,Salomon,Mid,{},170.00,,True,2020,{},{Speed},Waterproof,14.0,{Standard},False
Salomon Outpulse Mid GTX,Salomon,Mid,{},160.00,,True,2022,{},{Day},Waterproof,13.4,{Standard},False
Timberland Euro Hiker Shell-Toe,Timberland,Mid,{},140.00,,True,2022,{},{Day},Water Repellent,,{Standard},False
Scarpa Rush TRK GTX,Scarpa,Mid,{},239.00,European,True,2022,{},{Backpacking},Waterproof,19.6,{Standard},False
Columbia Fairbanks Mid,Columbia,Mid,{},110.00,,True,2022,{},"{Day, Urban, Speed}",Waterproof,15.0,{Standard},False
Timberland World Hiker,Timberland,Mid,{},280.00,,False,2023,{},{Day},Waterproof,,{Standard},False
Asolo Falcon GV,Asolo,Mid,{},220.00,European,True,,{},{Day},Waterproof,17.3,{Standard},False
Teva Grandview GTX,Teva,Mid,{Wide Toebox},175.00,,True,2020,{},"{Day, Backpacking}",Waterproof,16.9,{Standard},False
Lowa Renegade GTX Mid,Lowa,Mid,{},240.00,European,True,,{},{Day},Waterproof,19.5,"{Narrow, Standard, Wide}",False
Oboz Bridger Mid BDry,Oboz,Mid,{},180.00,,True,,{},{Day},Waterproof,19.0,"{Standard, Wide}",False
Hanwag Alverstone II GTX,Hanwag,High,{},340.00,,True,2019,{},{Backpacking},Waterproof,25.7,"{Standard, Wide}",False
The North Face Chilkat V 400,The North Face,High,{},159.00,,False,2023,{Winter},"{Day, Snow}",Waterproof,25.2,{Standard},False
La Sportiva Nucleo High II GTX,La Sportiva,High,{},200.00,,True,2021,{},{Backpacking},Waterproof,16.8,"{Standard, Wide}",False
Danner Panorama,Danner,Mid,{},160.00,,True,2022,{},{Day},Waterproof,18.5,"{Standard, Wide}",False
The North Face Vectiv Fastpack Insulated Futurelight,The North Face,Mid,{},195.00,,True,2023,{Winter},"{Day, Snow}",Waterproof,16.8,{Standard},False
Hoka Trail Code GTX,Hoka,Mid,{},185.00,,False,2023,{},{Day},Waterproof,15.3,{Standard},False
KEEN Revel IV Mid Polar,KEEN,Mid,{},170.00,,True,2021,{Winter},"{Day, Snow}",Waterproof,24.1,{Standard},False
Lowa Zephyr GTX Mid,Lowa,Mid,{},210.00,European,True,2021,{},"{Day, Backpacking}",Waterproof,19.4,{Standard},False
Danner Skyridge,Danner,Mid,{},150.00,,True,,{},"{Day, Urban}",Waterproof,17.5,{Standard},False
Hanwag Tatra II GTX,Hanwag,Mid,{Wide Toebox},325.00,German,True,,{},{Backpacking},Waterproof,26.8,"{Narrow, Standard, Wide}",False
Merrell Moab 2 Mid GTX,Merrell,Mid,{},150.00,,True,,{},{Day},Waterproof,16.5,"{Standard, Wide}",False
KEEN Voyageur Mid,KEEN,Mid,{},125.00,,True,,{Summer},{Desert},Water Repellent,16.2,{Standard},False
Hoka Kaha GTX,Hoka,Mid,{},220.00,,True,2020,{},{Backpacking},Waterproof,17.9,{Standard},False
Timberland Euro Trekker,Timberland,Mid,{},120.00,,True,2022,{},"{Day, Urban}",,17.0,{Standard},False
Vasque Breeze LT NTX,Vasque,Mid,{},180.00,,False,2021,{},{Day},Waterproof,14.7,{Standard},False
Danner Mountain Pass,Danner,Mid,{},360.00,USA,True,,{},"{Urban, Light}",Waterproof,23.0,"{Standard, Wide}",False
KEEN NXIS Speed Mid,KEEN,Mid,{Wide Toebox},155.00,,True,2022,{Summer},{Speed},,12.0,{Standard},False
Danner South Rim 600,Danner,Mid,{},150.00,,True,,{Summer},"{Day, Desert}",,16.0,"{Standard, Wide}",False
Adidas Terrex AX4 Mid GTX,Adidas,,{},140.00,,False,,{},{},,15.2,{Standard},False
On Cloudridge,On,Mid,{},210.00,,True,2022,{Summer},{},,14.5,{Standard},False
Danner Free Spirit,Danner,Mid,{},200.00,,True,2022,{},"{Day, Urban}",Waterproof,18.5,{Standard},False
Salewa Dropline Mid,Salewa,Mid,{},180.00,,True,2021,{Summer},"{Alpine, Speed}",,13.1,{Standard},False
Lowa Tibet GTX,Lowa,Mid,{},395.00,German,True,,{},{Backpacking},Waterproof,31.7,"{Standard, Wide}",False
Merrell Alverstone Mid Waterproof,Merrell,Mid,{},110.00,,True,2019,{},{Day},Waterproof,14.6,"{Standard, Wide}",False
Vasque Talus XT GTX,Vasque,Mid,{},220.00,,True,2020,{},{Backpacking},Waterproof,21.4,"{Standard, Wide}",False
Timberland Euro Sprint Hiker,Timberland,Mid,{},110.00,,True,,{Summer},{Day},,17.0,{Standard},False
Lowa Hunter GTX Evo Extreme,Lowa,High,{},460.00,German,True,,{Winter},"{Backpacking, Snow}",Waterproof,36.2,{Standard},False
Timberland White Ledge Mid Waterproof,Timberland,Mid,{},110.00,,True,2019,{},{Day},Waterproof,18.0,"{Standard, Wide}",False
Danner Arctic 600 Side-Zip,Danner,Mid,{},220.00,,True,2020,{Winter},"{Day, Snow}",Waterproof,22.5,"{Standard, Wide}",False
The North Face Vectiv Exploris Mid Futurelight,The North Face,Mid,{},169.00,,True,2022,{},"{Day, Speed}",Waterproof,14.7,{Standard},False
Timberland Euro Hiker Waterproof,Timberland,Mid,{},150.00,,True,2020,{},{Day},Waterproof,,"{Narrow, Standard}",False
On Cloudtrax,On,Mid,{},190.00,,False,2022,{Summer},"{Day, Urban}",Water Repellent,15.2,{Standard},False
Hanwag Alaska GTX,Hanwag,High,{Wide Toebox},370.00,,False,,{},{Backpacking},Waterproof,30.9,"{Standard, Wide}",False
Scarpa Maverick Mid GTX,Scarpa,Mid,{},199.00,,False,2020,{},{Speed},Waterproof,16.8,{Standard},False
Asolo Landscape GV,Asolo,Mid,{},160.00,,True,2020,{},"{Day, Speed}",Waterproof,14.1,{Standard},False
Danner Mountain Light II,Danner,Mid,{},380.00,USA,True,,{},{Backpacking},Waterproof,31.5,"{Standard, Wide}",False
Arc'teryx Acrux TR GTX,Arc'teryx,Mid,{},240.00,,True,2020,{},"{Day, Backpacking}",Waterproof,19.4,{Standard},False
Lowa Camino GTX,Lowa,Mid,{},300.00,German,True,,{},{Backpacking},Waterproof,27.3,"{Standard, Wide}",False
Garmont Toubkal GTX,Garmont,Mid,{},300.00,European,True,2019,{},{Backpacking},Waterproof,22.9,{Standard},False
Danner Light,Danner,High,{},380.00,USA,True,,{},{Backpacking},Waterproof,30.5,"{Standard, Wide}",False
Ariat Terrain,Ariat,Mid,{},95.00,,True,,{},{Day},,20.0,"{Standard, Wide}",False
Scarpa Mescalito TRK GTX,Scarpa,High,{},299.00,European,True,2022,{},{Backpacking},Waterproof,23.3,{Standard},False
ECCO Track 25 Boot,ECCO,High,{},250.00,,True,2020,{Winter},{Snow},Waterproof,,{Standard},False
Columbia Newton Ridge Plus II Waterproof,Columbia,Mid,{},80.00,,True,,{},{Day},Waterproof,15.9,"{Standard, Wide}",False
Merrell Moab Speed Mid GTX,Merrell,Mid,{},160.00,,True,2021,{},"{Day, Speed}",Waterproof,10.6,{Standard},False
Xero Shoes Alpine,Xero Shoes,High,{Wide Toebox},160.00,,True,2021,{Winter},"{Day, Snow}",Waterproof,14.9,{Standard},True
Vasque Breeze LT GTX,Vasque,Mid,{},180.00,,True,2019,{},{Day},Waterproof,13.3,"{Standard, Wide}",False
Danner Crater Rim,Danner,Mid,{Wide Toebox},360.00,USA,True,,{},{Backpacking},Waterproof,29.0,"{Standard, Wide}",False
Hanwag Tatra Light GTX,Hanwag,Mid,{},275.00,,True,2020,{},"{Day, Backpacking}",Waterproof,21.2,"{Standard, Wide}",False
Columbia Crestwood Mid Waterproof,Columbia,Mid,{},90.00,,True,2020,{},{Day},Waterproof,,"{Standard, Wide}",False
Salomon Predict Hike Mid GTX,Salomon,Mid,{},180.00,,True,2021,{},"{Day, Speed}",Waterproof,13.3,{Standard},False
Scarpa Zodiac Plus GTX,Scarpa,Mid,{},270.00,,True,,{},{Backpacking},Waterproof,19.2,{Standard},False
Altra Lone Peak Hiker 2,Altra,Mid,{},160.00,,True,2023,{},"{Day, Urban}",,12.8,{Standard},True
KEEN Targhee III Waterproof Mid,KEEN,Mid,{},145.00,,True,,{},{Day},Waterproof,17.4,"{Standard, Wide}",False
Adidas Terrex Swift R3 Mid GTX,Adidas,Mid,{},180.00,,True,2021,{},{Day},Waterproof,16.0,{Standard},False
Kenetrek Corrie 3.2 Hiker,Kenetrek,High,{},300.00,European,False,2022,{},"{Day, Backpacking}",Waterproof,25.6,"{Standard, Wide}",False
KEEN Revel III,KEEN,Mid,{},160.00,,True,2019,{Winter},"{Day, Snow}",Waterproof,20.4,"{Narrow, Standard}",False
Zamberlan 1013 Leopard GTX,Zamberlan,Mid,"{Narrow Heel, Wide Toebox}",325.00,Italian,True,2020,{},{Backpacking},Waterproof,25.0,"{Standard, Wide}",False
Vasque Torre AT GTX,Vasque,High,{},210.00,,False,2022,{},"{Day, Backpacking}",Waterproof,19.6,"{Standard, Wide}",False
La Sportiva TX Hike Mid GTX,La Sportiva,Mid,{Wide Toebox},179.00,,True,2022,{},"{Day, Urban}",Waterproof,17.3,{Standard},False
Merrell Ontario Mid Waterproof,Merrell,Mid,{},170.00,,True,2019,{},{Day},Waterproof,17.1,{Standard},False
Topo Athletic Trailventure 2,Topo Athletic,Mid,{Wide Toebox},160.00,,False,2023,{Summer},"{Day, Speed}",,14.1,{Standard},False
Skechers Relment Pelmo,Skechers,Mid,{Wide Toebox},90.00,,True,2019,{},{Day},Waterproof,22.0,"{Standard, Wide, Extra Wide}",False
Hoka TenNine Hike GTX,Hoka,Mid,{},250.00,,True,2021,{},{Day},Waterproof,17.8,{Standard},False
Timberland Sprint Trekker,Timberland,Mid,{},120.00,,True,2020,{},"{Day, Speed}",,15.9,{Standard},False
Baffin Zone,Baffin,Mid,{},170.00,,True,2019,{Winter},"{Day, Snow}",Waterproof,23.0,"{Narrow, Standard}",False
Salomon Quest 4D 3 GTX,Salomon,High,{},230.00,,True,,{},{Backpacking},Waterproof,22.6,{Standard},False
Danner Light II,Danner,Mid,{},380.00,USA,True,,{},{Day},Waterproof,30.5,"{Narrow, Standard, Wide}",False
KEEN Ridge Flex Mid WP,KEEN,Mid,"{Narrow Heel, Wide Toebox}",190.00,,True,2022,{},{Day},Waterproof,19.0,"{Standard, Wide}",False
Salewa Ultra Flex 2 Mid GTX,Salewa,Mid,{},190.00,,True,2022,{},{Speed},Waterproof,14.7,{Standard},False
Columbia Fairbanks Rover,Columbia,Mid,{},140.00,,True,2021,{Winter},"{Day, Snow}",Waterproof,17.2,{Standard},False
Adidas Terrex Trailmaker Mid GTX,Adidas,Mid,{},150.00,,True,2021,{},"{Day, Speed}",Waterproof,14.1,{Standard},False
On Cloudrock 2 Waterproof,On,Mid,{},220.00,,False,,{},{Day},Waterproof,17.1,{Standard},False
Xero Shoes Xcursion Fusion,Xero Shoes,Mid,{Wide Toebox},140.00,,True,2021,{},{Day},Waterproof,13.0,"{Standard, Wide}",True
Merrell Zion Mid Waterproof,Merrell,Mid,{},150.00,,True,2019,{},{Day},Waterproof,14.4,{Standard},False
KEEN Circadia Mid WP,KEEN,Mid,{Wide Toebox},145.00,,True,2022,{},{Day},Waterproof,22.0,"{Standard, Wide}",False
Scarpa Rush Mid GTX,Scarpa,Mid,{},179.00,,True,2021,{},"{Day, Speed}",Waterproof,13.4,{Standard},False
La Sportiva Trango TRK GTX,La Sportiva,High,{},220.00,,True,,{},{Backpacking},Waterproof,20.3,{Standard},False
Inov-8 Rocfly G 390,Inov-8,Mid,{Wide Toebox},210.00,,True,2022,{Summer},"{Light, Speed}",,13.8,"{Standard, Wide}",False
KEEN Targhee High Lace Waterproof Boot,KEEN,High,{},170.00,,True,2020,{Winter},"{Day, Urban, Snow}",Waterproof,,{Standard},False
Merrell Erie Mid Waterproof,Merrell,Mid,{},120.00,,True,2020,{},{Day},Waterproof,15.7,"{Standard, Wide}",False
Columbia Gunnison II Omni-Heat,Columbia,Mid,{},110.00,,True,2021,{Winter},"{Day, Snow}",Waterproof,19.2,"{Standard, Wide}",False
Xero Shoes Denver,Xero Shoes,Mid,{Wide Toebox},110.00,,True,2020,{Winter},"{Day, Urban, Snow}",Water Repellent,12.0,"{Standard, Wide}",True
Danner Trail 2650 Mid GTX,Danner,Mid,{Wide Toebox},180.00,,True,2020,{},"{Day, Speed}",Waterproof,14.1,"{Standard, Wide}",False
Oboz Sypes Mid Leather Waterproof,Oboz,Mid,{},165.00,,True,2021,{},"{Day, Urban}",Waterproof,16.6,"{Standard, Wide}",False
Timberland Mt. Maddsen Mid Waterproof,Timberland,Mid,{},115.00,,True,,{},{Day},Waterproof,17.0,"{Standard, Wide}",False
Lowa Taurus Pro GTX Mid,Lowa,Mid,{},180.00,European,True,2021,{},{Day},Waterproof,17.8,"{Narrow, Standard}",False
Scarpa Boreas GTX,Scarpa,High,{},229.00,European,True,2023,{},"{Day, Backpacking}",Waterproof,20.6,{Standard},False
Teva Ridgeview Mid,Teva,Mid,{},150.00,,True,2021,{},{Backpacking},Waterproof,16.6,{Standard},False
Merrell MQM Flex 2 Mid GTX,Merrell,Mid,{},160.00,,True,2021,{},"{Day, Speed}",Waterproof,13.9,{Standard},False
Lowa Tibet GTX Hi,Lowa,High,{},420.00,German,True,,{},{Backpacking},Waterproof,33.8,{Standard},False
