SHOE_NAME,Arch Support,Arch Type,Brand,Cushioning,Flexibility,Forefoot Height (mm),Heel Height (mm),Heel to Toe Drop (mm),MSRP (USD),Pronation,Release Date,Strike Pattern,Toebox,Waterproofing,Weight (oz),Widths Available
Altra Lone Peak 6,Neutral,High,Altra,Balanced,Balanced,,,0.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Extra Wide,,9.7,{}
Altra Olympus 4.0,Neutral,High,Altra,Plush,Balanced,,,0.0,170.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Extra Wide,,11.6,{}
Salomon Speedcross 5,Neutral,High,Salomon,Firm,Semi-Flexible,,,10.5,130.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Medium,,11.6,{}
Hoka Speedgoat 5,Neutral,High,Hoka,Plush,Balanced,,,4.0,155.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Medium,,9.7,{}
Nike Pegasus Trail 3,Neutral,High,Nike,Balanced,Semi-Flexible,,,10.0,130.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Medium,,11.3,{}
Altra Lone Peak 5.0,Neutral,High,Altra,Balanced,Semi-Flexible,,,0.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Extra Wide,,10.6,{}
Salomon Speedcross 6,Neutral,High,Salomon,Firm,Balanced,,,10.0,140.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Narrow,,10.5,{}
ASICS Gel Venture 8,Neutral,High,ASICS,Firm,Semi-Flexible,,,10.5,70.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Narrow,,12.5,{}
Nike React Pegasus Trail 4,Neutral,High,Nike,Balanced,Semi-Flexible,,,10.0,140.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Medium,,10.4,{}
Merrell Nova 2,Neutral,High,Merrell,Firm,Semi-Flexible,,,8.0,110.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Narrow,,9.9,{}
Nike Wildhorse 7,Neutral,High,Nike,Firm,Semi-Rigid,,,8.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Medium,,11.0,{}
Salomon XA Pro 3D,Stability,Low,Salomon,Firm,Balanced,,,10.0,130.00,{Overpronation},,{Heel},Medium,,14.5,{}
Salomon Sense Ride 4,Neutral,High,Salomon,Firm,Balanced,,,8.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,10.2,{}
Brooks Catamount,Neutral,High,Brooks,Balanced,Semi-Flexible,,,6.5,160.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Wide,,9.3,{}
Salomon Ultra Glide,Neutral,High,Salomon,Plush,Balanced,,,6.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Medium,,10.0,{}
Saucony Peregrine 12,Neutral,High,Saucony,Firm,Balanced,,,4.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Medium,,9.6,{}
Saucony Xodus Ultra,Neutral,High,Saucony,Balanced,Balanced,,,6.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Medium,,10.3,{}
Hoka Torrent 2,Neutral,High,Hoka,Plush,Semi-Flexible,,,5.0,120.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Medium,,9.7,{}
Brooks Cascadia 16,Neutral,High,Brooks,Balanced,Semi-Flexible,,,8.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,10.5,{}
Nike Pegasus Trail 2,Neutral,High,Nike,Plush,Balanced,,,10.0,130.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Medium,,11.1,{}
On Cloudventure,Neutral,High,On,Firm,Semi-Flexible,,,6.0,160.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Medium,,10.4,{}
Altra Superior 5,Neutral,High,Altra,Balanced,Semi-Flexible,,,0.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Wide,,8.8,{}
Altra Olympus 5,Neutral,High,Altra,Balanced,Balanced,,,0.0,180.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Extra Wide,,12.3,{}
Merrell Moab Flight,Neutral,High,Merrell,Balanced,Balanced,,,10.0,110.00,"{Supination, Underpronation, Neutral}",2021,{Heel},Medium,,10.6,{}
Nike Pegasus Trail 3 GTX,Neutral,High,Nike,Balanced,Balanced,,,10.0,160.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Medium,Waterproof,10.9,{}
Hoka Tecton X,Neutral,High,Hoka,Firm,Balanced,,,,200.00,"{Supination, Underpronation, Neutral}",2022,{},Medium,,8.9,{}
Brooks Caldera 6,Neutral,High,Brooks,Balanced,Balanced,,,6.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,10.6,{}
Altra Lone Peak 7,Neutral,High,Altra,Balanced,Semi-Flexible,,,0.0,150.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot}",Extra Wide,,11.0,{}
Hoka Challenger 7,Neutral,High,Hoka,Plush,Semi-Rigid,,,5.0,145.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Narrow,,8.9,{}
Salomon XT-6,Neutral,High,Salomon,Balanced,Balanced,,,,220.00,"{Supination, Underpronation, Neutral}",2020,{},Medium,,12.9,{}
Brooks Catamount 2,Neutral,High,Brooks,Balanced,Balanced,23.0,29.0,6.0,170.00,"{Supination, Underpronation, Neutral}",2023,{},Medium,Water Repellent,9.7,{Standard}
Saucony Peregrine 13,Neutral,,Saucony,Firm,Semi-Rigid,,,2.5,140.00,{},2023,"{Forefoot, Midfoot, Heel}",Narrow,,9.2,{}
Saucony Peregrine 11,Neutral,High,Saucony,Balanced,Semi-Flexible,23.0,27.0,4.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Medium,,10.9,"{Standard, Wide}"
ASICS Gel Venture 7,Neutral,High,ASICS,Balanced,Balanced,,,10.0,70.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Medium,,10.7,"{Standard, Extra Wide}"
Salomon Pulsar Trail Pro,Neutral,High,Salomon,Balanced,Semi-Rigid,25.0,31.0,6.0,150.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,9.5,{Standard}
Salomon Sense Ride 5,Neutral,,Salomon,Balanced,Semi-Rigid,21.3,29.6,8.3,140.00,{},2023,"{Forefoot, Midfoot, Heel}",Narrow,,10.1,{Standard}
Altra Outroad,Neutral,High,Altra,Balanced,Balanced,27.0,27.0,0.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Medium,,10.7,{Standard}
Salomon XA Pro 3D V8,Stability,Low,Salomon,Firm,Semi-Rigid,17.0,28.0,11.0,130.00,{Overpronation},2020,{Heel},Medium,,12.0,"{Standard, Wide}"
Adidas Terrex Speed Ultra,Neutral,High,Adidas,Balanced,Balanced,18.0,26.0,8.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Medium,,9.0,{Standard}
ASICS Gel Venture 6,Neutral,High,ASICS,Plush,Semi-Flexible,10.0,20.0,10.0,70.00,"{Supination, Underpronation, Neutral}",,{Heel},Medium,,11.2,"{Standard, Wide, Extra Wide}"
Inov-8 Terraultra G 270,Neutral,High,Inov-8,Plush,Balanced,12.0,12.0,0.0,160.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Wide,,9.5,"{Standard, Wide}"
Salomon Speedcross 5 GTX,Neutral,High,Salomon,Plush,Semi-Flexible,20.0,30.0,10.0,150.00,"{Supination, Underpronation, Neutral}",2019,{Heel},Medium,Waterproof,12.0,{Standard}
Hoka Stinson ATR 6,Neutral,High,Hoka,Plush,,34.0,39.0,5.0,160.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Wide,,11.7,{Standard}
Nike React Pegasus Trail 4 GTX,Neutral,High,Nike,Balanced,Semi-Flexible,26.0,36.0,10.0,160.00,"{Supination, Underpronation, Neutral}",,{},Wide,Waterproof,,{Standard}
On Cloudvista,Neutral,High,On,Balanced,Balanced,,,7.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Narrow,,9.9,{Standard}
Salomon Speedcross 3,Neutral,High,Salomon,Firm,Balanced,9.0,20.0,11.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Medium,,10.9,{Standard}
Hoka Speedgoat 4,Neutral,High,Hoka,Firm,Rigid,28.0,32.0,4.0,145.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Medium,,10.8,"{Standard, Wide}"
Nike ZoomX Zegama Trail,Neutral,High,Nike,Balanced,Semi-Flexible,33.0,37.0,4.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Medium,,,{Standard}
Nike Air Zoom Terra Kiger 7,Neutral,High,Nike,Firm,Semi-Flexible,,,2.5,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Narrow,,10.4,{}
Salomon Pulsar Trail,Neutral,High,Salomon,Balanced,Balanced,26.6,32.6,6.0,130.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,10.0,{Standard}
Brooks Divide 3,Neutral,High,Brooks,Firm,Balanced,22.0,30.0,8.0,100.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,10.1,{Standard}
Hoka Mafate Speed 4,Neutral,High,Hoka,Firm,Balanced,29.0,33.0,4.0,185.00,"{Supination, Underpronation, Neutral}",2022,{},Medium,,10.4,{Standard}
La Sportiva Mutant,Neutral,High,La Sportiva,Firm,Semi-Rigid,16.0,26.0,10.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Medium,,10.7,{Standard}
Brooks Cascadia 15,Neutral,High,Brooks,Firm,Semi-Rigid,18.0,26.0,8.0,130.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Wide,,11.0,"{Standard, Wide}"
Merrell Trail Glove 6,Neutral,High,Merrell,Firm,Flexible,12.0,12.0,0.0,100.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Medium,,7.5,{Standard}
Saucony Endorphin Edge,Neutral,High,Saucony,Plush,Semi-Rigid,30.0,36.0,6.0,200.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Medium,,9.1,{Standard}
Salomon XT-Wings 2,Neutral,High,Salomon,Balanced,Balanced,12.0,22.5,10.5,160.00,"{Supination, Underpronation, Neutral}",2020,{},Wide,,11.8,{Standard}
Adidas Terrex Soulstride,Neutral,High,Adidas,Balanced,Balanced,,,,80.00,"{Supination, Underpronation, Neutral}",2022,{},Wide,,,"{Narrow, Standard, Wide}"
Brooks Caldera 5,Neutral,High,Brooks,Balanced,Semi-Flexible,28.0,32.0,4.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Wide,,10.8,{Standard}
New Balance Nitrel V4,Neutral,High,New Balance,Plush,,,,8.0,70.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Medium,,10.3,"{Standard, Wide, Extra Wide}"
Altra Timp 4,Neutral,High,Altra,Plush,Semi-Flexible,30.0,30.0,0.0,160.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Wide,,10.6,{Standard}
Saucony Endorphin Trail,Neutral,High,Saucony,Balanced,Semi-Rigid,32.5,36.5,4.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Wide,,10.4,{Standard}
ASICS Novablast 3 TR,Neutral,High,ASICS,Plush,Balanced,23.0,31.0,8.0,145.00,"{Supination, Underpronation, Neutral}",2022,{},Wide,,8.9,{Standard}
New Balance Fresh Foam Hierro v7,Neutral,High,New Balance,Balanced,Balanced,,,8.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,10.6,"{Standard, Wide}"
Merrell Nova,Neutral,High,Merrell,,,26.0,34.0,8.0,110.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",,,10.9,{Standard}
Adidas Ultraboost All Terrain,Neutral,High,Adidas,,,22.0,32.0,10.0,220.00,"{Supination, Underpronation, Neutral}",,{Heel},,Water Repellent,12.0,{Standard}
Xero Shoes Prio,Neutral,High,Xero Shoes,,,7.0,7.0,0.0,90.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot}",,,7.4,{Standard}
Altra Timp 3,Neutral,High,Altra,Balanced,Balanced,29.0,29.0,0.0,140.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Wide,,10.5,{Standard}
Merrell Agility Peak 4,Neutral,High,Merrell,Balanced,Semi-Flexible,24.0,30.0,6.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,10.8,{Standard}
New Balance 510 v5,Neutral,High,New Balance,Balanced,,,,,75.00,"{Supination, Underpronation, Neutral}",2022,{},Wide,,,"{Standard, Wide, Extra Wide}"
Scarpa Ribelle Run,Neutral,High,Scarpa,Balanced,,20.5,24.5,4.0,159.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Wide,,10.6,{Standard}
On Cloudultra,Neutral,High,On,Firm,Semi-Rigid,20.0,28.0,8.0,180.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Medium,,10.7,{Standard}
New Balance Fresh Foam Hierro v6,Neutral,High,New Balance,Balanced,,20.0,28.0,8.0,135.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,11.9,"{Standard, Wide}"
ASICS Gel Excite Trail,Neutral,High,ASICS,Balanced,Balanced,,,8.0,75.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,,10.6,{Standard}
Hoka Zinal,Neutral,High,Hoka,Balanced,Semi-Flexible,18.0,22.0,4.0,160.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Medium,,8.5,{Standard}
Inov-8 Trailfly G 270,Neutral,High,Inov-8,Balanced,Balanced,12.0,12.0,0.0,160.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Wide,,9.5,{Standard}
Saucony Xodus Ultra 2,Neutral,,Saucony,Balanced,Semi-Rigid,26.5,32.5,6.0,150.00,{},2023,"{Forefoot, Midfoot, Heel}",Narrow,,9.2,{Standard}
ASICS Trail Scout 2,Neutral,High,ASICS,Balanced,Semi-Rigid,,,10.0,60.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Medium,,11.6,"{Standard, Extra Wide}"
Inov-8 TrailFly Ultra G 300 Max,Neutral,High,Inov-8,Plush,Semi-Flexible,24.0,30.0,6.0,190.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,11.9,"{Standard, Wide}"
Altra Mont Blanc,Neutral,High,Altra,Firm,Balanced,,30.0,0.0,180.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Extra Wide,,9.9,{Standard}
Merrell Trail Glove 5,Neutral,High,Merrell,Balanced,Flexible,12.0,12.0,0.0,100.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot}",Wide,,6.9,{Standard}
Salomon Ultra Glide 2,Neutral,,Salomon,Plush,Semi-Flexible,26.0,32.0,6.0,150.00,{},2023,"{Forefoot, Midfoot, Heel}",Wide,,9.2,"{Standard, Wide}"
La Sportiva Jackal,Neutral,High,La Sportiva,Plush,Balanced,19.0,25.0,7.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Medium,,10.6,{Standard}
Nike Wildhorse 8,Neutral,,Nike,Plush,Balanced,,,6.5,130.00,{},2023,"{Forefoot, Midfoot, Heel}",Wide,,10.5,{}
ASICS Gel Sonoma 6,Neutral,High,ASICS,Balanced,Semi-Flexible,,,6.5,80.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Medium,,10.4,{}
La Sportiva Karacal,Neutral,High,La Sportiva,Firm,Semi-Rigid,22.0,29.0,7.0,130.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot, Heel}",Wide,,8.8,{Standard}
Adidas Terrex Agravic,Neutral,High,Adidas,,,18.0,25.0,7.0,135.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",,,11.0,{Standard}
Reebok Floatride Energy 4 Adventure,Neutral,High,Reebok,Firm,Balanced,,,10.5,120.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Medium,,9.6,{}
Hoka Torrent 3,Neutral,High,Hoka,Balanced,Balanced,18.0,23.0,5.0,130.00,"{Supination, Underpronation, Neutral}",2023,{},Medium,,8.7,{Standard}
Brooks Divide 2,Neutral,High,Brooks,Firm,Semi-Rigid,17.0,25.0,8.0,100.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot, Heel}",Wide,,10.3,{Standard}
Adidas Terrex Agravic Flow 2,Neutral,High,Adidas,Firm,Semi-Rigid,20.0,28.0,8.0,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Wide,Water Repellent,11.3,"{Narrow, Standard}"
Salomon Speedcross 4,Neutral,High,Salomon,Balanced,Balanced,20.0,30.0,10.0,130.00,"{Supination, Underpronation, Neutral}",,{Heel},Narrow,,10.9,"{Standard, Wide}"
Altra Mont Blanc BOA,Neutral,High,Altra,Firm,Balanced,30.0,30.0,0.0,210.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Wide,,11.2,{Standard}
La Sportiva Ultra Raptor II,Neutral,High,La Sportiva,Balanced,Semi-Rigid,19.0,28.0,9.0,155.00,"{Supination, Underpronation, Neutral}",2022,{Heel},Medium,,12.5,"{Standard, Wide}"
La Sportiva Akyra,Stability,Low,La Sportiva,,,16.0,25.0,9.0,140.00,{Overpronation},,{Heel},,,11.6,"{Standard, Wide}"
Nike Zoom Terra Kiger 8,Neutral,High,Nike,Balanced,Semi-Flexible,,,6.5,140.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot, Heel}",Medium,,,{}
ASICS Fuji Lite 2,Neutral,High,ASICS,Plush,Semi-Flexible,26.0,30.0,4.0,120.00,"{Supination, Underpronation, Neutral}",2021,"{Forefoot, Midfoot}",Wide,,9.3,"{Narrow, Standard}"
Adidas Terrex Agravic Flow,Neutral,High,Adidas,Plush,Semi-Flexible,,,6.5,130.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Wide,,11.5,{}
Altra Timp 2,Neutral,High,Altra,,,29.0,29.0,0.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Wide,,9.9,{Standard}
New Balance Fresh Foam X More Trail v2,Neutral,High,New Balance,Plush,,29.0,33.0,4.0,165.00,"{Supination, Underpronation, Neutral}",2022,"{Forefoot, Midfoot}",Medium,,11.6,"{Standard, Wide}"
La Sportiva Bushido II,Stability,Low,La Sportiva,,,13.0,19.0,6.0,130.00,{Overpronation},2019,"{Forefoot, Midfoot, Heel}",,,10.5,{Standard}
La Sportiva Kaptiva,Neutral,High,La Sportiva,Plush,Semi-Flexible,11.0,17.0,6.0,139.00,"{Supination, Underpronation, Neutral}",2019,"{Forefoot, Midfoot, Heel}",Narrow,,9.2,{Standard}
Adidas Terrex Agravic Ultra,Neutral,High,Adidas,Firm,Semi-Rigid,,,6.5,160.00,"{Supination, Underpronation, Neutral}",2023,"{Forefoot, Midfoot, Heel}",Medium,,11.6,{}
Nike Pegasus Trail 2 GTX,Neutral,High,Nike,Balanced,Balanced,20.0,30.0,10.0,160.00,"{Supination, Underpronation, Neutral}",2020,{Heel},Medium,Waterproof,12.0,{Standard}
On Cloudventure Waterproof,Neutral,High,On,Balanced,Balanced,20.0,26.0,6.0,170.00,"{Supination, Underpronation, Neutral}",,"{Forefoot, Midfoot, Heel}",Medium,,10.4,{Standard}
Brooks Caldera 4,Neutral,High,Brooks,Plush,Balanced,,,4.0,140.00,"{Supination, Underpronation, Neutral}",2020,"{Forefoot, Midfoot}",Medium,,10.0,{Standard}
